00117_08July22Calib_00000.root	0.000000    0.0007056925676
00117_08July22Calib_00117.root	0.214464	0.002669533409
00117_08July22Calib_00118.root	0.214464	0.002669533409
00117_08July22Calib_00119.root	0.214464	0.002669533409
00117_08July22Calib_00120.root	0.214464	0.002669533409
00117_08July22Calib_00121.root	0.214464	0.002669533409
00117_08July22Calib_00122.root	0.214464	0.002669533409
00117_08July22Calib_00123.root	0.214464	0.002669533409
00117_08July22Calib_00124.root	0.214464	0.002669533409
00117_08July22Calib_00125.root	0.214464	0.002669533409
00117_08July22Calib_00126.root	0.214464	0.002669533409
00117_08July22Calib_00127.root	0.214464	0.002669533409
00117_08July22Calib_00128.root	0.214464	0.002669533409
00117_08July22Calib_00129.root	0.214464	0.002669533409
00117_08July22Calib_00130.root	0.214464	0.002669533409
00117_08July22Calib_00131.root	0.214464	0.002669533409
00117_08July22Calib_00132.root	0.214464	0.002669533409
00117_08July22Calib_00133.root	0.214464	0.002669533409
00117_08July22Calib_00134.root	0.214464	0.002669533409
00117_08July22Calib_00135.root	0.214464	0.002669533409
00117_08July22Calib_00136.root	0.214464	0.002669533409
00117_08July22Calib_00137.root	0.214464	0.002669533409
00117_08July22Calib_00138.root	0.214464	0.002669533409
00117_08July22Calib_00139.root	0.214464	0.002669533409
00117_08July22Calib_00140.root	0.214464	0.002669533409
00117_08July22Calib_00141.root	0.214464	0.002669533409
00117_08July22Calib_00142.root	0.214464	0.002669533409
00117_08July22Calib_00143.root	0.214464	0.002669533409
00117_08July22Calib_00144.root	0.214464	0.002669533409
00117_08July22Calib_00145.root	0.214464	0.002669533409
00117_08July22Calib_00146.root	0.214464	0.002669533409
00117_08July22Calib_00147.root	0.214464	0.002669533409
00117_08July22Calib_00148.root	0.214464	0.002669533409
00117_08July22Calib_00149.root	0.214464	0.002669533409
00117_08July22Calib_00150.root	0.214464	0.002669533409
00117_08July22Calib_00151.root	0.214464	0.002669533409
00117_08July22Calib_00152.root	0.214464	0.002669533409
00117_08July22Calib_00153.root	0.214464	0.002669533409
00117_08July22Calib_00154.root	0.214464	0.002669533409
00117_08July22Calib_00155.root	0.214464	0.002669533409
00117_08July22Calib_00156.root	0.214464	0.002669533409
00117_08July22Calib_00157.root	0.214464	0.002669533409
00117_08July22Calib_00158.root	0.214464	0.002669533409
00117_08July22Calib_00159.root	0.214464	0.002669533409
00117_08July22Calib_00160.root	0.214464	0.002669533409
00117_08July22Calib_00161.root	0.214464	0.002669533409
00117_08July22Calib_00162.root	0.214464	0.002669533409
00117_08July22Calib_00163.root	0.214464	0.002669533409
00117_08July22Calib_00164.root	0.214464	0.002669533409
00117_08July22Calib_00165.root	0.214464	0.002669533409
00117_08July22Calib_00166.root	0.214464	0.002669533409
00117_08July22Calib_00167.root	0.214464	0.002669533409
00117_08July22Calib_00168.root	0.214464	0.002669533409
00117_08July22Calib_00169.root	0.214464	0.002669533409
00117_08July22Calib_00170.root	0.214464	0.002669533409
00117_08July22Calib_00171.root	0.214464	0.002669533409
00117_08July22Calib_00172.root	0.214464	0.002669533409
00117_08July22Calib_00173.root	0.214464	0.002669533409
00117_08July22Calib_00174.root	0.214464	0.002669533409
00117_08July22Calib_00175.root	0.214464	0.002669533409
00117_08July22Calib_00176.root	0.214464	0.002669533409
00117_08July22Calib_00177.root	0.214464	0.002669533409
00117_08July22Calib_00178.root	0.214464	0.002669533409
00117_08July22Calib_00179.root	0.214464	0.002669533409
00117_08July22Calib_00180.root	0.214464	0.002669533409
00117_08July22Calib_00181.root	0.214464	0.002669533409
00117_08July22Calib_00182.root	0.214464	0.002669533409
00117_08July22Calib_00183.root	0.214464	0.002669533409
00117_08July22Calib_00184.root	0.214464	0.002669533409
00117_08July22Calib_00185.root	0.214464	0.002669533409
00117_08July22Calib_00186.root	0.214464	0.002669533409
00117_08July22Calib_00187.root	0.214464	0.002669533409
00117_08July22Calib_00188.root	0.214464	0.002669533409
00117_08July22Calib_00189.root	0.214464	0.002669533409
00117_08July22Calib_00190.root	0.214464	0.002669533409
00117_08July22Calib_00191.root	0.214464	0.002669533409
00117_08July22Calib_00192.root	0.214464	0.002669533409
00117_08July22Calib_00193.root	0.214464	0.002669533409
00117_08July22Calib_00194.root	0.214464	0.002669533409
